Date,total_dissolved_posphorus_ugL,DOC_mgL,nitrate_nitrite_mgL
9/25/17,4.46,2.76,0
9/25/17,,,
9/25/17,2.19,2.32,0.072
9/25/17,,,
9/25/17,3.58,2.97,0.034
10/2/17,3.87,1.94,0.209
10/2/17,,,
10/2/17,4.14,1.74,0.206
10/2/17,7.95,,0.045
10/2/17,4.02,2.4,0.018
10/2/17,,,
10/2/17,18.22,4.09,0.149
10/2/17,,,
10/2/17,11.09,3.13,0.051
10/2/17,,,
10/2/17,3.38,1.8,0.218
10/2/17,,,
10/2/17,8.64,2.54,0.075
10/10/17,17.92,3.08,0.014
10/10/17,,,
10/10/17,13.82,1.85,0.261
10/10/17,17.13,3.55,0.008
10/10/17,19.2,2.71,0.012
10/10/17,,,
10/10/17,24.4,2.96,0.108
10/10/17,12.29,2.61,0.009
10/10/17,,,
10/10/17,5.38,1.63,0.189
10/10/17,,,
10/10/17,7.33,2.47,0.01
10/16/17,17.41,1.96,0.291
10/16/17,,,
10/16/17,7.72,1.87,0.223
10/16/17,41.17,3.76,0.357
10/16/17,13.19,2.05,0.302
10/16/17,,,
10/16/17,46.43,3.98,0.578
10/16/17,19.23,,0.189
10/16/17,,,
10/16/17,18.03,2.07,0.142
10/16/17,,,
5/21/18,47.05,,2.423
5/21/18,,,
5/21/18,19.01,,1.386
5/21/18,34.78,,2.318
5/21/18,19.07,,1.635
5/21/18,,,
5/21/18,86.02,,3.261
5/21/18,12.3,,1.48
5/21/18,,,
5/21/18,6.43,,0.936
5/21/18,,,
5/21/18,4.46,,1.225
6/12/18,33.59,,1.633
6/12/18,,,
6/12/18,9.24,,0.389
6/12/18,17.43,,1.626
6/12/18,19.29,,1.221
6/12/18,,,
6/12/18,39.46,,2.513
6/12/18,32.81,,1.538
6/12/18,,,
6/12/18,4.93,,0.402
6/12/18,,,
6/12/18,13.64,,0.939
6/25/18,37.25,,1.376
6/25/18,,,
6/25/18,6.73,,0.303
6/25/18,96.4,,6.331
6/25/18,26.86,,0.68
6/25/18,,,
6/25/18,107.31,,8.643
6/25/18,45.1,,3.985
6/25/18,,,
7/2/18,12.78,,1.353
7/2/18,,,
7/2/18,3.81,,0.713
7/2/18,18.69,,4.261
7/2/18,22.18,,2.731
7/2/18,,,
7/2/18,69.66,,5.48
7/2/18,6.58,,1.121
7/2/18,,,
7/2/18,3.71,,0.795
7/2/18,,,
7/2/18,6.24,,1.49
7/9/18,18.76,,2.134
7/9/18,,,
7/9/18,3.47,,0.98
7/9/18,11.91,,2.805
7/9/18,16.51,,1.899
7/9/18,,,
7/9/18,59.05,,5.927
7/9/18,10.45,,0.88
7/9/18,,,
7/9/18,7.89,,0.366
7/9/18,,,
7/9/18,6.7,,0.549
7/16/18,3.71,,0.652
7/16/18,,,
7/16/18,4.21,,0.822
7/16/18,5.8,,1.481
7/16/18,7.1,,1.537
7/16/18,,,
7/16/18,10.43,,3.519
7/16/18,4.25,,0.603
7/16/18,,,
7/16/18,4.34,,0.754
7/16/18,,,
7/16/18,3.64,,0.782
7/23/18,4.91,,0.677
7/23/18,,,
7/23/18,7.56,,0.861
7/23/18,6.44,,1.431
7/23/18,6.1,,1.009
7/23/18,,,
7/23/18,28.53,,2.733
7/23/18,4.17,,0.458
7/23/18,,,
7/23/18,3.71,,0.656
7/23/18,,,
7/23/18,3.09,,0.377
7/30/18,4.45,,0.703
7/30/18,,,
7/30/18,1.01,,0.179
7/30/18,5.91,,1.02
7/30/18,4.99,,0.946
7/30/18,,,
7/30/18,10.35,,1.586
7/30/18,3.83,,0.584
7/30/18,,,
7/30/18,1.87,,0.285
7/30/18,,,
7/30/18,3.35,,0.509
8/6/18,4.23,,0.554
8/6/18,,,
8/6/18,2.86,,0.406
8/6/18,9.18,,1.388
8/6/18,3.95,,0.555
8/6/18,,,
8/6/18,8.54,,1.073
8/6/18,4.38,,0.187
8/6/18,,,
8/6/18,2.18,,0.586
8/6/18,,,
8/6/18,3.97,,0.372
8/13/18,6.51,,0.372
8/13/18,,,
8/13/18,5.17,,0.28
8/13/18,9,,0.619
8/13/18,6.1,,0.332
8/13/18,,,
8/13/18,11.65,,0.554
8/13/18,6.88,,0.379
8/13/18,,,
8/13/18,4.33,,0.159
8/13/18,,,
8/13/18,4.94,,0.193
8/20/18,6.34,,0.244
8/20/18,,,
8/20/18,7.96,,0.233
8/20/18,10.85,,0.28
8/20/18,8.12,,0.22
8/20/18,,,
8/20/18,79.93,,0.804
8/20/18,6.15,,0.142
8/20/18,,,
8/20/18,5.74,,0.157
8/20/18,,,
8/20/18,6.05,,0.149
8/27/18,5.79,,0.057
8/27/18,,,
8/27/18,6.02,,0.184
8/27/18,13.22,,0.211
8/27/18,7.68,,0.085
8/27/18,,,
8/27/18,112.3,,1.613
8/27/18,5.79,,0.023
8/27/18,,,
8/27/18,5.63,,0.192
8/27/18,,,
8/27/18,5.75,,0.051
9/4/18,7.99,,0.057
9/4/18,,,
9/4/18,8.45,,0.029
9/4/18,14.28,,0.098
9/4/18,11.56,,0.075
9/4/18,,,
9/4/18,16.49,,0.365
9/4/18,5.19,,0.057
9/4/18,,,
9/4/18,6.63,,0.177
9/4/18,,,
9/4/18,5.65,,0.004
9/11/18,25.29,,0.065
9/11/18,,,
9/11/18,18.89,,0.047
9/11/18,70.1,,1.276
9/11/18,17.53,,0.299
9/11/18,,,
9/11/18,22.77,,0.277
9/11/18,22.18,,0.216
9/11/18,,,
9/11/18,34.28,,0.176
9/11/18,,,
9/11/18,15.25,,0.079
9/17/18,17.65,,0.208
9/17/18,,,
9/17/18,11.54,,0.345
9/17/18,27.62,,0.411
9/17/18,10.58,,0.184
9/17/18,,,
9/17/18,51.53,,0.703
9/17/18,25.72,,0.094
9/17/18,,,
9/17/18,20.95,,0.083
9/17/18,,,
9/17/18,10.56,,0.033
9/25/18,15.3125,,0.159
9/25/18,,,
9/25/18,6.7685,,0.282
9/25/18,29.0955,,0.299
9/25/18,12.9125,,0.132
9/25/18,,,
9/25/18,55.838,,0.747
9/25/18,25.2745,,0.115
9/25/18,,,
10/1/18,22.042,,0.185
10/1/18,,,
10/1/18,6.155,,0.283
10/1/18,40.1125,,0.651
10/1/18,7.924,,0.233
10/1/18,,,
10/1/18,36.3035,,0.36
10/1/18,15.4835,,0.184
10/1/18,,,
10/1/18,9.6175,,0.269
10/1/18,,,
10/1/18,27.7535,,0.105
10/9/18,63.328,,0.635
10/9/18,81.887,,0.979
